Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Kasper Schmeichel,"Nov 5, 1986 (34)",Goalkeeper,€6.00m,"Jun 30, 2023","Aug 3, 2022",46,0,0,9,1
Danny Ward,"Jun 22, 1993 (28)",Goalkeeper,€6.00m,"Jun 30, 2025","Jul 20, 2018",28,0,0,18,0
Çağlar Söyüncü,"May 23, 1996 (25)",Defender - Centre-Back,€45.00m,"Jun 30, 2023","Aug 9, 2018",9,1,0,18,1
Wesley Fofana,"Dec 17, 2000 (20)",Defender - Centre-Back,€40.00m,"Jun 30, 2029","Aug 31, 2022",22,2,0,12,0
Jonny Evans,"Jan 3, 1988 (33)",Defender - Centre-Back,€7.00m,"Jun 30, 2023","Jul 1, 2018",14,0,0,18,1
Daniel Amartey,"Dec 21, 1994 (26)",Defender - Centre-Back,€5.00m,"Jun 30, 2023","Jan 22, 2016",24,0,0,18,1
Luke Thomas,"Jun 10, 2001 (20)",Defender - Left-Back,€5.00m,"Jun 30, 2026","Jul 1, 2020",24,0,1,18,0
Ricardo Pereira,"Oct 6, 1993 (27)",Defender - Right-Back,€30.00m,"Jun 30, 2026","Jul 1, 2018",11,1,1,18,0
Timothy Castagne,"Dec 5, 1995 (25)",Defender - Right-Back,€28.00m,"Jun 30, 2025","Sep 3, 2020",42,2,4,18,1
James Justin,"Feb 23, 1998 (23)",Defender - Right-Back,€17.00m,"Jun 30, 2026","Jul 1, 2019",15,1,1,18,0
Wilfred Ndidi,"Dec 16, 1996 (24)",Midfield - Defensive Midfield,€60.00m,"Jun 30, 2027","Jan 3, 2017",30,0,0,18,0
Nampalys Mendy,"Jun 23, 1992 (29)",Midfield - Defensive Midfield,€8.00m,"Jun 30, 2023","Jul 3, 2016",24,1,1,18,1
Hamza Choudhury,"Oct 1, 1997 (23)",Midfield - Defensive Midfield,€7.00m,"Jun 30, 2027","Jan 1, 2018",37,0,0,18,0
Youri Tielemans,"May 7, 1997 (24)",Midfield - Central Midfield,€55.00m,"Jun 30, 2023","Jul 8, 2019",37,4,2,18,1
Dennis Praet,"May 14, 1994 (27)",Midfield - Central Midfield,€18.00m,"Jun 30, 2024","Aug 8, 2019",27,1,1,18,0
Kiernan Dewsbury-Hall,"Sep 6, 1998 (22)",Midfield - Central Midfield,€22.00m,"Jun 30, 2027","Jul 1, 2021",34,2,2,18,0
James Maddison,"Nov 23, 1996 (24)",Midfield - Attacking Midfield,€55.00m,"Jun 30, 2024","Jul 1, 2018",32,10,9,18,1
Harvey Barnes,"Dec 9, 1997 (23)",Attack - Left Winger,€35.00m,"Jun 30, 2025","Jul 1, 2018",40,13,3,18,1
Demarai Gray,"Jun 28, 1996 (25)",Attack - Left Winger,€8.00m,"Jun 30, 2024","Jul 22, 2021",36,6,1,17,1
Cengiz Ünder,"Jul 14, 1997 (23)",Attack - Right Winger,€18.00m,"Jun 30, 2025","Jul 1, 2022",47,13,6,3,1
Kelechi Iheanacho,"Oct 3, 1996 (24)",Attack - Centre-Forward,€20.00m,"Jun 30, 2024","Aug 3, 2017",35,8,5,18,0
Ayoze Pérez,"Jul 29, 1993 (27)",Attack - Centre-Forward,€18.00m,"Jun 30, 2023","Jul 4, 2019",34,5,3,18,1
Jamie Vardy,"Jan 11, 1987 (34)",Attack - Centre-Forward,€7.00m,"Jun 30, 2025","Jul 1, 2012",42,6,5,18,0
