Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Freddie Woodman,"Mar 4, 1997 (24)",Goalkeeper,€10.00m,"Jun 30, 2023","Jul 1, 2014",6,0,0,11,1
Martin Dúbravka,"Jan 15, 1989 (32)",Goalkeeper,€5.00m,"Jun 30, 2026","Jul 1, 2018",27,0,0,11,0
Karl Darlow,"Oct 8, 1990 (30)",Goalkeeper,€3.00m,"Jun 30, 2025","Aug 9, 2014",8,0,0,11,0
Mark Gillespie,"Mar 27, 1992 (29)",Goalkeeper,€400k,"Jun 30, 2025","Jul 3, 2020",2,0,0,11,0
Jamaal Lascelles,"Nov 11, 1993 (27)",Defender - Centre-Back,€13.00m,"Jun 30, 2025","Aug 9, 2014",27,1,0,11,0
Fabian Schär,"Dec 20, 1991 (29)",Defender - Centre-Back,€9.00m,"Jun 30, 2026","Jul 26, 2018",26,2,2,11,0
Ciaran Clark,"Sep 26, 1989 (31)",Defender - Centre-Back,€3.00m,"Jun 30, 2023","Aug 3, 2016",14,0,1,11,0
Jamal Lewis,"Jan 25, 1998 (23)",Defender - Left-Back,€15.00m,"Jun 30, 2025","Sep 8, 2020",6,0,0,11,0
Emil Krafth,"Aug 2, 1994 (26)",Defender - Right-Back,€3.50m,"Jun 30, 2026","Aug 8, 2019",22,0,1,11,0
Javier Manquillo,"May 5, 1994 (27)",Defender - Right-Back,€3.00m,"Jan 21, 2024","Jul 21, 2017",21,1,2,11,0
Isaac Hayden,"Mar 22, 1995 (26)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2026","Jul 11, 2016",14,1,0,11,0
Joelinton,"Aug 14, 1996 (24)",Midfield - Central Midfield,€17.00m,"Jun 30, 2028","Jul 23, 2019",37,4,1,11,0
Joe Willock,"Aug 20, 1999 (21)",Midfield - Central Midfield,€16.00m,"Jun 30, 2027","Aug 13, 2021",31,2,0,11,0
Sean Longstaff,"Oct 30, 1997 (23)",Midfield - Central Midfield,€15.00m,"Jun 30, 2026","Jan 1, 2019",26,0,1,11,0
Jonjo Shelvey,"Feb 27, 1992 (29)",Midfield - Central Midfield,€13.00m,"Jun 30, 2023","Jan 12, 2016",26,2,3,11,1
Matt Ritchie,"Sep 10, 1989 (31)",Midfield - Right Midfield,€3.00m,"Jun 30, 2024","Jul 1, 2016",19,0,2,11,0
Allan Saint-Maximin,"Mar 12, 1997 (24)",Attack - Left Winger,€30.00m,"Jun 30, 2026","Aug 2, 2019",37,5,5,11,0
Ryan Fraser,"Feb 24, 1994 (27)",Attack - Left Winger,€10.00m,"Jun 30, 2024","Sep 7, 2020",29,2,3,11,0
Miguel Almirón,"Feb 10, 1994 (27)",Attack - Right Winger,€16.00m,"Jun 30, 2026","Jan 31, 2019",32,1,0,11,0
Jacob Murphy,"Feb 24, 1995 (26)",Attack - Right Winger,€4.00m,"Jun 30, 2027","Jul 19, 2017",34,1,2,11,0
Callum Wilson,"Feb 27, 1992 (29)",Attack - Centre-Forward,€22.00m,"Jun 30, 2025","Sep 7, 2020",18,8,0,11,0
