Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Aaron Ramsdale,"May 14, 1998 (23)",Goalkeeper,€12.00m,"Jun 30, 2026","Aug 20, 2021",39,0,0,5,0
Michael Verrips,"Dec 3, 1996 (24)",Goalkeeper,€900k,"Jun 30, 2023","Aug 8, 2019",5,0,0,20,1
Wes Foderingham,"Jan 14, 1991 (30)",Goalkeeper,€400k,"Jun 30, 2024","Jul 27, 2020",36,0,0,20,0
Simon Moore,"May 19, 1990 (31)",Goalkeeper,€400k,"Jun 30, 2024","Jul 3, 2021",42,0,0,20,0
Jake Eastwood,"Oct 3, 1996 (24)",Goalkeeper,€100k,"Jun 30, 2024","Jul 1, 2017",3,0,0,20,0
John Egan,"Oct 20, 1992 (28)",Defender - Centre-Back,€9.00m,"Jun 30, 2024","Jul 19, 2018",48,2,2,20,0
Jack Robinson,"Sep 1, 1993 (27)",Defender - Centre-Back,€2.00m,"Jun 30, 2025","Jan 21, 2020",32,3,1,20,0
Kean Bryan,"Nov 1, 1996 (24)",Defender - Centre-Back,€2.00m,"Jun 30, 2023","Sep 7, 2021",4,0,0,20,0
Enda Stevens,"Jul 9, 1990 (30)",Defender - Left-Back,€3.50m,"Jun 30, 2023","Jul 1, 2017",24,2,3,20,0
Max Lowe,"May 11, 1997 (24)",Defender - Left-Back,€3.00m,"Jun 30, 2024","Sep 7, 2020",23,1,4,20,0
Rhys Norrington-Davies,"Apr 22, 1999 (22)",Defender - Left-Back,€1.50m,"Jun 30, 2027","Jul 1, 2019",26,0,1,20,0
Jayden Bogle,"Jul 27, 2000 (20)",Defender - Right-Back,€7.00m,"Jun 30, 2025","Sep 7, 2020",22,3,2,20,0
George Baldock,"Mar 9, 1993 (28)",Defender - Right-Back,€5.00m,"Jun 30, 2024","Jul 1, 2017",27,1,3,20,0
Sander Berge,"Feb 14, 1998 (23)",Midfield - Defensive Midfield,€18.00m,"Jun 30, 2024","Jan 30, 2020",34,6,4,20,0
Ethan Ampadu,"Sep 14, 2000 (20)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2024","Jul 1, 2017",30,0,3,3,0
John Lundstram,"Feb 18, 1994 (27)",Midfield - Central Midfield,€7.00m,"Jun 30, 2024","Jul 5, 2021",48,4,1,20,0
John Fleck,"Aug 24, 1991 (29)",Midfield - Central Midfield,€5.00m,"Feb 1, 2024","Jul 8, 2016",39,2,3,20,0
Oliver Norwood,"Apr 12, 1991 (30)",Midfield - Central Midfield,€5.00m,"Jun 30, 2024","Jan 4, 2019",49,1,4,20,0
Ben Osborn,"Aug 5, 1994 (26)",Midfield - Central Midfield,€2.00m,"Jun 30, 2024","Jul 26, 2019",39,3,4,20,0
Luke Freeman,"Mar 22, 1992 (29)",Midfield - Attacking Midfield,€2.00m,"Jun 30, 2022","Jul 3, 2019",9,1,0,20,1
Iliman Ndiaye,"Mar 6, 2000 (21)",Attack - Left Winger,€22.00m,"Jun 30, 2024","Jul 1, 2021",35,7,2,20,0
Rhian Brewster,"Apr 1, 2000 (21)",Attack - Centre-Forward,€12.00m,"Jun 30, 2025","Oct 2, 2020",16,4,0,20,0
Oli McBurnie,"Jun 4, 1996 (25)",Attack - Centre-Forward,€10.00m,"Jun 30, 2024","Aug 2, 2019",30,1,2,20,0
